Number of Contributors,Reside in US,Currency Used,Age,Relationship Status,Children Currently,Children Desired,Full Time Employment,"Part Time, Regular Employment","Part Time, Irregular Employement",Not Employed,Working Industry,Employer Type,Job Role,Job Title,Housing Situation,Cost of Living Index,Financially Independent,FI Number,Percent of FI Amount,Retired,Amount to Retire,Target Safe Withdrawal Rate,Annual Income [Supplemental Sources],Retired Annual Spending,Type of FI,Work if FI,Intended Retirement Age,Inflation/Recession Effects,FI Number [Retired],Annual Withdrawal Rate,Annual Withdrawal Amount,Total Assets,Total Debt,Annual Expenses,Total Income,Year
2,Yes,United States Dollars (USD),41-45,Married,2,0,For an organization,,,,"Agriculture, Forestry, Fishing",Public corporation,Management - Upper,VP,Own,121-130,Yes,,,No,8000000.0,3,40000.0,125000.0,FatFI,No,46-50,No change,4000000.0,,,6587632.0,1357.0,252000.0,405000.0,2023
2,Yes,United States Dollars (USD),31-35,Married,2,0,For an organization,,,,Healthcare,Public agency (Government),Professional (licensed / certificated),Clinical pharmacist,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),26-30,Married,,2,For an organization,,,,Energy,Nonprofit corporation,Management - Middle / Lower,Manager,Own,91-100,No,3000000.0,33,,4000000.0,3,150000.0,120000.0,ChubbyFI,Undecided,51-55,No change,,,,1444000.0,0.0,265000.0,280000.0,2023
2,Yes,United States Dollars (USD),41-45,Married,2,0,For an organization,,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),36-40,Married,2,0,For an organization,,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),Pediatric hospitalist,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),31-35,Married,3,0,For an organization,,,,Information Technology (incl. software engineering),Public corporation,Information technology,Technical program manager,Own,91-100,No,3200000.0,33,,3200000.0,4,40000.0,120000.0,FI,Yes,41-45,No change,,,,2290000.0,600000.0,140000.0,415000.0,2023
2,Yes,United States Dollars (USD),41-45,Married,1,1,For an organization,,,,Financial Services,Public corporation,Information technology,Information Security Analyst,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),31-35,"Single, never married",,,For an organization,,,,Public Administration (Civilian Government),Public agency (Government),Management - Middle / Lower,Deputy Director,Own,81-90,No,2000000.0,26.5,,3000000.0,3.5,78000.0,120000.0,FI,No,46-50,No change,,,,1092260.0,352885.0,155925.0,169698.0,2023
2,Yes,United States Dollars (USD),51-55,Married,1,0,For an organization,,,,Engineering (NOT software),Public agency (Government),Management - Middle / Lower,Project manager,Own,101-110,Yes,,,No,1500000.0,5,20000000.0,150000.0,FatFI,No,56-60,No change,1300000.0,,,2747273.0,0.0,0.0,205000.0,2023
1,Yes,United States Dollars (USD),31-35,"In a relationship, but not married",,,For an organization,,,,Information Technology (incl. software engineering),Public corporation,Management - Middle / Lower,,Own,81-90,No,1000000.0,30,,2000000.0,4,50000.0,70000.0,FI,No,46-50,"Increased my FI and/or RE number,Increased my planned RE date",,,,1690000.0,801000.0,97000.0,151780.0,2023
2,No,Canadian Dollars (CAD),36-40,Married,3,0,For myself,,,,Professional & Business Services,Self-employed,Consultant,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,No,Australian Dollars (AUD),41-45,"In a relationship, but not married",,,,For an organization,,,Healthcare,Private corporation,Professional (licensed / certificated),Veterinary Director,Own,71-80,No,1792828.685258964,18,,1792828.685258964,6.5,26560.42496679947,73041.16865869855,FI,Yes,51-55,No change,,,,699867.197875166,212483.39973439576,0.0,0.0,2023
2,Yes,United States Dollars (USD),31-35,Married,2,0,For an organization,,,,Manufacturing,Public corporation,Other (Please specify) - Engineering,Equipment Engineer,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),41-45,Married,,,For an organization,,,,Financial Services,Private corporation,Information technology,Data Engineer,Own,71-80,No,2500000.0,25,,3500000.0,4,50000.0,120000.0,FatFI,Undecided,56-60,No change,,,,1150000.0,0.0,210900.0,228000.0,2023
2,No,Canadian Dollars (CAD),36-40,Married,3,,For myself,,,,Professional & Business Services,Self-employed,Consultant,,Own,61-70,Yes,,,No,3703703.7037037034,3,,70370.37037037036,ChubbyFI,No,Undecided,No change,1481481.4814814813,,,2237037.037037037,55555.555555555555,69629.62962962962,142962.96296296295,2023
2,Yes,United States Dollars (USD),31-35,Married,2,0,For an organization,,,,Healthcare,Public agency (Government),Professional (licensed / certificated),clinical pharmacist,Own,71-80,No,2800000.0,39,,2800000.0,3,60000.0,100000.0,FI,Partially,56-60,Increased my FI and/or RE number,,,,1141914.0,205170.0,173879.0,178126.0,2023
1,Yes,United States Dollars (USD),56-60,Married,2,0,For an organization,,,,Manufacturing,Private corporation,Management - Upper,"Vice President, Business Development",Own,51-60,No,2500000.0,80,,2500000.0,4,110000.0,150000.0,ChubbyFI,Partially,66-70,Increased my FI and/or RE number,,,,3630000.0,10000.0,80000.0,243000.0,2023
2,Yes,United States Dollars (USD),31-35,Married,,2,For an organization,,,,Manufacturing,Private corporation,Management - Middle / Lower,Senior Sourcing Manager,Rent,91-100,No,4000000.0,25,,4000000.0,3.5,30000.0,150000.0,ChubbyFI,Undecided,46-50,No change,,,,930000.0,0.0,267100.0,314000.0,2023
1,No,Canadian Dollars (CAD),41-45,Divorced,,,For an organization,,For myself,,Engineering (NOT software),Private corporation,Professional (licensed / certificated),Technical Account Manager,Own,61-70,Yes,,,No,1111111.111111111,3.5,44444.44444444444,51851.85185185185,ChubbyFI,No,41-45,No change,555555.5555555555,,,1470370.3703703703,205925.9259259259,102678.51851851851,102678.51851851851,2023
1,Yes,United States Dollars (USD),41-45,Married,4,0,For an organization,,,,Retail,Private corporation,Management - Upper,VP,Own,81-90,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),31-35,Married,1,1,For an organization,,,,Information Technology (incl. software engineering),Private corporation,Information technology,Senior Software Engineer,Own,71-80,No,2250000.0,85,,2300000.0,3.75,20000.0,85000.0,FI,Partially,36-40,No change,,,,2425000.0,0.0,80000.0,330000.0,2023
1,Yes,United States Dollars (USD),31-35,Married,5,0,For an organization,For an organization,For myself,,Other Services,Nonprofit corporation,Management - Upper,Director,Own,81-90,No,4000000.0,35,,,3.5,,100000.0,Undecided,No,71+,No change,,,,1510000.0,0.0,264000.0,272000.0,2023
1,Yes,United States Dollars (USD),36-40,"Single, never married",,,For an organization,,For myself,,Information Technology (incl. software engineering),Private corporation,Information technology,Information Security Manager,Own,71-80,No,1200000.0,45,,1200000.0,3,,35000.0,FI,Yes,46-50,Increased my FI and/or RE number,,,,785000.0,96000.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),26-30,"Single, never married",,,For an organization,,,,Public Administration (Civilian Government),Public agency (Government),Other (Please specify) - Law Enforcement,Police officer,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),36-40,"In a relationship, but not married",,,For an organization,,,,Professional & Business Services,Private corporation,Professional (non-licensed),Controller,Own,81-90,No,3000000.0,65,,2500000.0,3,150000.0,150000.0,FI,Partially,51-55,Increased my FI and/or RE number,,,,2360000.0,344000.0,70000.0,147000.0,2023
1,Yes,United States Dollars (USD),26-30,"Single, never married",,,For an organization,,,,Public Administration (Civilian Government),Public agency (Government),Other (Please specify) - Law enforcement,Police officer,Rent,81-90,No,1500000.0,15,,1500000.0,4,120000.0,60000.0,Don't Understand,No,51-55,No change,,,,203000.0,0.0,103000.0,137000.0,2023
2,No,Canadian Dollars (CAD),31-35,Married,,2,For an organization,,,,Retail,Public corporation,Management - Middle / Lower,Senior Director,Own,61-70,No,1851851.8518518517,35,,1851851.8518518517,4,14814.814814814814,59259.259259259255,FI,Partially,46-50,No change,,,,1318518.5185185184,470370.37037037034,213925.9259259259,213333.3333333333,2023
2,Yes,United States Dollars (USD),26-30,Married,,,For an organization,,,,Information Technology (incl. software engineering),Public corporation,Information technology,Software development engineer,Rent,81-90,No,2500000.0,23,,,,20000.0,100000.0,FI,Undecided,36-40,No change,,,,575000.0,0.0,285000.0,285000.0,2023
2,Yes,United States Dollars (USD),41-45,"In a relationship, but not married",2,0,For an organization,,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),APRN,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),36-40,"Single, never married",,,For an organization,,,,Engineering (NOT software),Public agency (Government),Professional (non-licensed),Safety engineer,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),31-35,"Single, never married",,,For an organization,,For an organization,,Healthcare,Private corporation,Professional (licensed / certificated),pharmacist,Own,81-90,Yes,,,No,3500000.0,2.5,,70000.0,ChubbyFI,Partially,36-40,No change,2000000.0,,,2551000.0,441400.0,217050.0,217050.0,2023
2,Yes,United States Dollars (USD),41-45,"Single, never married",2,0,For an organization,,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),Nurse,Own,71-80,No,2500000.0,30,,2500000.0,4,100000.0,50000.0,FI,Undecided,Undecided,Decreased my planned RE date,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),36-40,Married,1,1,,,For myself,,"Arts, Entertainment, Recreation",Self-employed,Professional (non-licensed),Author,Own,61-70,No,2000000.0,50,,100.0,3.5,60000.0,80000.0,FI,Yes,51-55,No change,,,,1040000.0,185000.0,135000.0,135000.0,2023
1,Yes,United States Dollars (USD),36-40,"Single, never married",,,For an organization,,,,Engineering (NOT software),Public agency (Government),Professional (non-licensed),Safety engineer,Nomadic,61-70,Yes,,,No,1800000.0,3,43000.0,60000.0,FI,No,41-45,Increased my FI and/or RE number,600000.0,,,1399600.0,0.0,110720.0,110720.0,2023
2,Yes,United States Dollars (USD),36-40,Married,2,0,,For an organization,,,Professional & Business Services,Private corporation,Administrative staff,Legal Assistant,Own,61-70,No,2500000.0,42,,2500000.0,4,8000.0,90000.0,FI,Partially,56-60,No change,,,,1888803.0,146211.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),21-25,"In a relationship, but not married",,2,For an organization,,,,Financial Services,Private corporation,Professional (licensed / certificated),Trader,Rent,71-80,No,2000000.0,15,,4000000.0,3.5,,140000.0,ChubbyFI,Partially,31-35,No change,,,,320000.0,0.0,179500.0,180800.0,2023
2,Yes,United States Dollars (USD),46-50,Married,2,0,For an organization,,,,Information Technology (incl. software engineering),Private corporation,Information technology,Principal Software Engineer,Own,51-60,No,2500000.0,50,,2500000.0,4,100000.0,100000.0,FI,Undecided,51-55,Increased my FI and/or RE number,,,,1715000.0,65000.0,260000.0,260000.0,2023
1,Yes,United States Dollars (USD),36-40,"Single, never married",,,For an organization,,,,Engineering (NOT software),Private corporation,Professional (non-licensed),Principal Engineer,Rent,71-80,No,2000000.0,33,,1750000.0,5,24000.0,100000.0,ChubbyFI,Undecided,46-50,Increased my FI and/or RE number,,,,700000.0,0.0,1800.0,0.0,2023
1,No,United States Dollars (USD),46-50,Married,,,,,,For an organization,Media,Public corporation,Sales,,Rent,31-40,Yes,,,Yes,,,,,,,,,1000000.0,0.77,45000,6230000.0,0.0,70900.0,83000.0,2023
2,Yes,United States Dollars (USD),26-30,Married,,,For an organization,,,,Information Technology (incl. software engineering),Public corporation,Information technology,Software Engineer,Rent,81-90,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),31-35,Married,2,2,For an organization,,,,Healthcare,Public corporation,Professional (licensed / certificated),Geneticist Director,Own,51-60,No,2500000.0,40,,3000000.0,4,10000.0,120000.0,ChubbyFI,Undecided,46-50,Increased my FI and/or RE number,,,,1165000.0,212000.0,250000.0,250000.0,2023
2,Yes,United States Dollars (USD),36-40,Married,,,For an organization,,,,Other Services,Public agency (Government),Management - Middle / Lower,Attorney,Own,91-100,No,1000000.0,30,,2000000.0,3,150000.0,80000.0,FI,Undecided,46-50,Increased my FI and/or RE number,,,,1165000.0,395000.0,194000.0,250000.0,2023
1,Yes,United States Dollars (USD),21-25,"Single, never married",,2,For an organization,,,,Information Technology (incl. software engineering),Private corporation,Consultant,,Rent,71-80,No,2000000.0,4,,2000000.0,6,,,Don't Understand,No,46-50,Increased my FI and/or RE number,,,,99000.0,27000.0,36000.0,88000.0,2023
2,Yes,United States Dollars (USD),36-40,Married,,,For an organization,,,,Public Administration (Civilian Government),Public agency (Government),Management - Middle / Lower,,Own,81-90,Yes,,,No,4500000.0,3,80000.0,150000.0,ChubbyFI,No,41-45,No change,4000000.0,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),31-35,Married,2,0,For an organization,,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),MD,Own,71-80,No,2500000.0,28,,5000000.0,3.5,250000.0,200000.0,FatFI,Partially,56-60,Increased my FI and/or RE number,,,,2261000.0,1322000.0,310000.0,662600.0,2023
2,Yes,United States Dollars (USD),36-40,Married,1,1,For an organization,,For myself,,Public Administration (Civilian Government),Public agency (Government),Management - Upper,Director,Own,81-90,No,1500000.0,47,,25000000.0,2,111000.0,91000.0,ChubbyFI,No,51-55,No change,,,,1277000.0,428900.0,175237.0,175237.0,2023
1,Yes,United States Dollars (USD),31-35,"In a relationship, but not married",,,For an organization,,,,Media,Public corporation,Sales,Account Director,Rent,91-100,No,3200000.0,10,,3200000.0,3.5,3500.0,95000.0,ChubbyFI,Undecided,51-55,No change,,,,310403.0,0.0,199420.0,205520.0,2023
2,Yes,British Pound Sterling (GBP),31-35,Married,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),26-30,Married,1,1,For an organization,,,,Healthcare,Public corporation,Management - Middle / Lower,Clinical Research,Own,71-80,No,1500000.0,4,,1500000.0,4,,65000.0,FI,Yes,41-45,No change,,,,444800.0,395000.0,200000.0,200000.0,2023
2,Yes,United States Dollars (USD),26-30,Married,,2,For an organization,,,,Information Technology (incl. software engineering),Private corporation,Information technology,Software Engineer,Own,81-90,No,2500000.0,15,,3000000.0,3,30000.0,100000.0,ChubbyFI,Partially,46-50,No change,,,,1231400.0,643000.0,330000.0,330000.0,2023
1,Yes,United States Dollars (USD),26-30,"Single, never married",,3,For an organization,,,,Information Technology (incl. software engineering),Private corporation,Information technology,Data Engineer,Rent,101-110,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),51-55,Married,2,0,,,,For an organization,Information Technology (incl. software engineering),Public corporation,Information technology,Sr. Program Manager,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),31-35,Married,1,1,For an organization,,,,Healthcare,Nonprofit corporation,Management - Middle / Lower,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),51-55,Married,2,0,For an organization,,,,Engineering (NOT software),Public corporation,Professional (non-licensed),Staff Engineer,Own,61-70,Yes,,,No,,,,,FI,No,Undecided,,,,,3756000.0,29000.0,0.0,190000.0,2023
1,Yes,United States Dollars (USD),36-40,Married,3,0,For an organization,,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),Attorney,Own,61-70,Yes,,,No,3150000.0,4,50000.0,120000.0,ChubbyFI,Partially,41-45,Increased my FI and/or RE number,3150000.0,,,2591000.0,595000.0,20800.0,35000.0,2023
1,Yes,United States Dollars (USD),36-40,Married,1,0,For an organization,,,,Information Technology (incl. software engineering),Private corporation,Information technology,Software Engineer,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),51-55,"Single, never married",,,For an organization,,,,Public Administration (Civilian Government),Public agency (Government),Management - Middle / Lower,IT Audit Manager,Own,71-80,Yes,,,No,3500000.0,2.5,70000.0,100000.0,ChubbyFI,No,51-55,"Increased my FI and/or RE number,Increased my planned RE date",2500000.0,,,3190219.0,0.0,226606.0,226606.0,2023
1,Yes,United States Dollars (USD),36-40,Married,4,0,For an organization,,,,Financial Services,Public corporation,Management - Upper,Director of Finance,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),51-55,Married,1,1,For an organization,,,,Education,Public agency (Government),Other (Please specify) - teacher,high school teacher,Own,51-60,No,2000000.0,45,,2000000.0,4,,100000.0,FI,Yes,61-65,No change,,,,1410000.0,120000.0,0.0,75000.0,2023
2,Yes,United States Dollars (USD),31-35,Married,1,1,For an organization,,,,Healthcare,Private corporation,Management - Middle / Lower,Category Manager,Own,61-70,No,2500000.0,33,,3500000.0,3,50000.0,100000.0,ChubbyFI,No,41-45,No change,,,,1058000.0,230000.0,241500.0,241500.0,2023
2,No,United States Dollars (USD),31-35,Married,2,0,For an organization,,,,Military,Public agency (Government),Management - Middle / Lower,Air Command and Control Officer,Rent,41-50,No,3000000.0,23,,48.0,4,,120000.0,FI,Yes,46-50,Increased my FI and/or RE number,,,,692000.0,0.0,80000.0,114392.0,2023
1,Yes,United States Dollars (USD),31-35,"In a relationship, but not married",,,For an organization,,,,Manufacturing,Private corporation,Management - Middle / Lower,Engineering Manager,Rent,61-70,No,1200000.0,45,,1500000.0,3.8,25000.0,50000.0,FI,Undecided,46-50,No change,,,,590000.0,0.0,116700.0,125000.0,2023
2,Yes,United States Dollars (USD),31-35,Married,2,1,For an organization,,,,Professional & Business Services,Public agency (Government),Information technology,Analyst,Rent,81-90,No,2500000.0,56,,3000000.0,3.5,25000.0,84000.0,FI,Yes,41-45,Increased my FI and/or RE number,,,,1366000.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),31-35,Married,,,For an organization,,,,Financial Services,Public corporation,Professional (non-licensed),Sr Finance Manager,Own,71-80,No,2000000.0,45,,2200000.0,3.5,,77000.0,FI,Yes,41-45,No change,,,,1310500.0,297000.0,300532.0,300000.0,2023
1,No,Canadian Dollars (CAD),31-35,"In a relationship, but not married",,,For an organization,,,,Information Technology (incl. software engineering),Private corporation,Information technology,"Senior Software Developer, DevOps",Rent,71-80,No,740740.7407407407,6,,740740.7407407407,4,,29629.629629629628,LeanFI,Partially,41-45,Increased my FI and/or RE number,,,,50370.370370370365,0.0,83333.33333333333,88040.0,2023
2,Yes,United States Dollars (USD),31-35,Married,,2,For an organization,,,,Information Technology (incl. software engineering),Public corporation,Information technology,,Rent,81-90,No,1800000.0,41,,2000000.0,3.5,25000.0,80000.0,FI,No,41-45,No change,,,,805000.0,0.0,5500.0,265000.0,2023
1,Yes,United States Dollars (USD),26-30,"Single, never married",,,,,,"For an organization,For myself",Energy,Private corporation,Customer service,Customer Operations Manager,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),26-30,Married,1,2,For an organization,,,,Manufacturing,Private corporation,Professional (non-licensed),Project manager,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),21-25,"Single, never married",,,For an organization,,,,Information Technology (incl. software engineering),Public corporation,Sales,Sales Engineer,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),26-30,"Single, never married",,,For an organization,,,,Information Technology (incl. software engineering),Private corporation,Information technology,,Live with family or friends,91-100,No,1250000.0,54,,1500000.0,4,300.0,50000.0,Barista / Coast FI,No,36-40,No change,,,,744700.0,0.0,179900.0,180000.0,2023
1,Yes,United States Dollars (USD),21-25,"Single, never married",,,For an organization,,,,Information Technology (incl. software engineering),Public corporation,Sales,Sales Engineer,Rent,71-80,No,2000000.0,16,,2000000.0,4,10000.0,80000.0,FI,Partially,41-45,No change,,,,257000.0,7000.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),26-30,Married,1,2,For an organization,,,,Manufacturing,Private corporation,Professional (non-licensed),Project manager,Own,71-80,No,2500000.0,12,,100.0,3,14000.0,100000.0,ChubbyFI,Partially,51-55,No change,,,,919000.0,411000.0,74500.0,7625.0,2023
1,Yes,United States Dollars (USD),26-30,"Single, never married",,,For an organization,,,,Information Technology (incl. software engineering),Public corporation,Information technology,Cyber Security,Own,61-70,No,1250000.0,18,,1500000.0,3.3,,50000.0,FI,Partially,41-45,No change,,,,720200.0,0.0,127000.0,90560.0,2023
1,Yes,United States Dollars (USD),31-35,"Single, never married",,,For an organization,,,,Information Technology (incl. software engineering),Public corporation,Information technology,Data Scientist,Rent,91-100,No,2000000.0,60,,2500000.0,4,30000.0,70000.0,FI,Partially,41-45,Increased my FI and/or RE number,,,,1225851.0,4123.0,390398.0,390398.0,2023
1,Yes,United States Dollars (USD),26-30,"Single, never married",,,For an organization,,,,Education,Public agency (Government),Information technology,,Own,91-100,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),26-30,"Single, never married",,,For an organization,,,,Education,Public agency (Government),Information technology,,Own,91-100,No,,,,,,,,FI,Yes,41-45,No change,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),26-30,Married,,2,For an organization,,,,Engineering (NOT software),Public corporation,Professional (non-licensed),Mechanical engineer,Own,71-80,No,2500000.0,9,,2500000.0,3.5,,95000.0,FI,Yes,51-55,Increased my FI and/or RE number,,,,430200.0,156000.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),36-40,Married,,,For an organization,,For an organization,,Information Technology (incl. software engineering),Private corporation,Information technology,Software engineer,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),31-35,Married,,1,For an organization,For myself,,,Retail,Public corporation,Management - Upper,COO,Own,71-80,No,2000000.0,40,,2000000.0,5,,100000.0,Barista / Coast FI,Partially,36-40,Increased my FI and/or RE number,,,,1080000.0,424000.0,180200.0,400000.0,2023
2,No,Canadian Dollars (CAD),31-35,"In a relationship, but not married",,,For myself,,,,Professional & Business Services,Self-employed,Consultant,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),41-45,Married,2,0,For an organization,,,,Information Technology (incl. software engineering),Private corporation,Information technology,Principal Software Engineer,Own,71-80,No,3000000.0,67,,5000000.0,3.25,47424.0,150000.0,ChubbyFI,No,56-60,Increased my FI and/or RE number,,,,2246612.0,198500.0,324370.0,361909.0,2023
2,Yes,United States Dollars (USD),41-45,Married,,,,For an organization,For myself,,Natural Resources,Self-employed,Consultant,,Own,91-100,No,7000000.0,25,,7000000.0,3.5,18000.0,190000.0,ChubbyFI,Undecided,56-60,Increased my FI and/or RE number,,,,2420000.0,0.0,160000.0,378000.0,2023
1,Yes,United States Dollars (USD),21-25,"Single, never married",,,For an organization,,,,Manufacturing,Public corporation,Management - Middle / Lower,,Rent,61-70,No,1250000.0,33,,1250000.0,4,500000.0,40000.0,FI,Yes,31-35,No change,,,,385000.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),31-35,Married,2,0,For an organization,,,,Healthcare,Public corporation,Management - Middle / Lower,Safety Scientist,Own,71-80,No,4000000.0,50,,5000000.0,3,48000.0,100000.0,FI,No,41-45,"Increased my FI and/or RE number,Increased my planned RE date",,,,3344103.0,98661.0,298518.0,488101.0,2023
1,Yes,United States Dollars (USD),21-25,"Single, never married",,,For an organization,,,,Information Technology (incl. software engineering),Public corporation,Information technology,Senior Data Analyst,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),31-35,Married,1,2,For an organization,,,,Financial Services,Public corporation,Professional (licensed / certificated),,Own,71-80,No,2000000.0,50,,5000000.0,4,,200000.0,ChubbyFI,No,46-50,Increased my FI and/or RE number,,,,1300000.0,375000.0,126000.0,262000.0,2023
2,Yes,United States Dollars (USD),31-35,Married,1,1,For an organization,,,,Financial Services,Private corporation,Professional (licensed / certificated),Manager,Own,61-70,No,1000000.0,82,,2000000.0,4,50000.0,60000.0,FI,No,41-45,No change,,,,1023000.0,200000.0,159650.0,193000.0,2023
