Number of Contributors,Reside in US,Currency Used,Age,Relationship Status,Children Currently,Children Desired,Working Industry,Employer Type,Job Role,Job Title,Full Time Employment,"Part Time, Regular Employment","Part Time, Irregular Employement",Not Employed,Housing Situation,Cost of Living Index,Financially Independent,FI Number,Percent of FI Amount,Retired,Amount to Retire,Target Safe Withdrawal Rate,Annual Income [Supplemental Sources],Retired Annual Spending,Work if FI,Intended Retirement Age,FI Number [Retired],Annual Withdrawal Rate,Annual Withdrawal Amount,Total Assets,Total Debt,Annual Expenses,Total Income,Year
1,Yes,United States Dollars (USD),26-30,"In a relationship, but not married",,,Engineering (NOT software),Nonprofit corporation,Professional (non-licensed),,For an organization,,,,Rent,71-80,No,2500000.0,5,,3000000.0,3,25000.0,50000.0,Yes,46-50,,,,143100.0,26000.0,126000.0,126000.0,2022
1,Yes,United States Dollars (USD),31-35,"Single, never married",,,Professional & Business Services,Public corporation,Professional (licensed / certificated),CPA,For an organization,,,,Own,71-80,No,1500000.0,33,,1750000.0,3,50000.0,40000.0,Partially,41-45,,,,635000.0,102000.0,210000.0,210000.0,2022
1,Yes,United States Dollars (USD),41-45,Married,,,Information Technology (incl. software engineering),Public corporation,Information technology,Principal Engineer,For an organization,,,,Own,81-90,No,3000000.0,68,,3000000.0,3,40000.0,90000.0,Undecided,46-50,,,,2770121.0,127880.0,643280.0,645000.0,2022
2,Yes,United States Dollars (USD),31-35,"In a relationship, but not married",,3,Information Technology (incl. software engineering),Private corporation,Information technology,Product manager,For an organization,,For myself,,Own,91-100,No,4000000.0,25,,7000000.0,3,60000.0,250000.0,No,51-55,,,,4050000.0,2200000.0,692000.0,692000.0,2022
1,Yes,United States Dollars (USD),31-35,"Single, never married",,,Public Administration (Civilian Government),Public agency (Government),Professional (non-licensed),,For an organization,,,,Own,71-80,No,2000000.0,25,,2500000.0,3,,60000.0,Undecided,46-50,,,,1102684.0,130000.0,100000.0,100000.0,2022
1,Yes,United States Dollars (USD),26-30,"Divorced - In a relationship, but not married",,1,Engineering (NOT software),Private corporation,Professional (non-licensed),Design Engineer,For an organization,,,,Own,81-90,No,1500000.0,10,,100.0,3,20000.0,50000.0,Undecided,46-50,,,,467000.0,306000.0,98700.0,98700.0,2022
2,Yes,United States Dollars (USD),31-35,Married,1,1,Healthcare,Private corporation,Professional (non-licensed),Paralegal,For an organization,,,,Own,71-80,No,,44,,2500000.0,3,,70000.0,Partially,51-55,,,,1672000.0,420000.0,0.0,0.0,2022
1,Yes,United States Dollars (USD),36-40,Married,1,1,Information Technology (incl. software engineering),Public corporation,Information technology,architect,For an organization,,For myself,,Own,91-100,No,3000000.0,33,,3000000.0,3,100000.0,120000.0,Partially,41-45,,,,2400000.0,900000.0,405000.0,405000.0,2022
1,Yes,United States Dollars (USD),31-35,Married,1,1,Healthcare,Public corporation,Professional (licensed / certificated),Pharmacist,For an organization,,,,Own,71-80,No,2500000.0,50,,2500000.0,3,0.0,60000.0,Yes,36-40,,,,1510000.0,200000.0,55000.0,150000.0,2022
2,Yes,United States Dollars (USD),31-35,"In a relationship, but not married",,3,Information Technology (incl. software engineering),Private corporation,Information technology,Product manager,For an organization,,For myself,,Own,91-100,No,4000000.0,25,,8000000.0,3,90000.0,220000.0,No,51-55,,,,4800000.0,2700000.0,722000.0,722000.0,2022
2,Yes,United States Dollars (USD),46-50,Married,,,Information Technology (incl. software engineering),Private corporation,Consultant,Senior Product Owner,For an organization,,,,Own,81-90,Yes,,,No,4500000.0,3,,90000.0,Partially,46-50,3000000.0,,,4161000.0,0.0,214640.0,545000.0,2022
1,Yes,United States Dollars (USD),<20,"In a relationship, but not married",,,Education,Nonprofit corporation,Program staff,"Resident Advisor (and separately, direct support professional)",,,"For an organization,For myself",,Rent,81-90,No,1500000.0,1,,2000000.0,3,,48000.0,Partially,46-50,,,,14600.0,0.0,24000.0,24000.0,2022
2,Yes,United States Dollars (USD),36-40,Married,,,Engineering (NOT software),Private corporation,Management - Upper,Sr. director,For an organization,,,,Own,81-90,No,3000000.0,75,,5000000.0,3,50000.0,100000.0,Partially,46-50,,,,3220000.0,480000.0,299000.0,301000.0,2022
1,Yes,United States Dollars (USD),36-40,"Single, never married",,,Professional & Business Services,Self-employed,Consultant,Consultant,For myself,,,,Rent,41-50,Yes,,,No,5000000.0,3,15000.0,6000.0,Partially,41-45,3000000.0,,,3220000.0,0.0,224500.0,562000.0,2022
2,Yes,United States Dollars (USD),31-35,Married,,2,Engineering (NOT software),Public corporation,Professional (non-licensed),Staff Engineer,For an organization,,,,Own,71-80,No,1666667.0,23,,1800000.0,3,,50000.0,Undecided,46-50,,,,721978.0,0.0,145951.0,189713.0,2022
1,Yes,United States Dollars (USD),21-25,"Single, never married",,,Education,Public agency (Government),Administrative staff,Senior Administrative Associate,For an organization,,,,Live with family or friends,71-80,No,1000000.0,10,,1500000.0,3,60000.0,50000.0,Partially,46-50,,,,109940.0,0.0,48000.0,48000.0,2022
2,Yes,United States Dollars (USD),26-30,Married,1,4,Engineering (NOT software),Public corporation,Professional (non-licensed),Process Engineer,For an organization,,,,Rent,81-90,No,3200000.0,10,,3200000.0,3,10000.0,9000.0,Undecided,56-60,,,,390000.0,65000.0,166200.0,340000.0,2022
1,Yes,United States Dollars (USD),36-40,"Single, never married",,,Utilities,Private corporation,Management - Middle / Lower,finance manager,For an organization,,,,Rent,1-20,No,2500000.0,50,,2500000.0,3,35000.0,60000.0,Undecided,51-55,,,,1067000.0,0.0,34700.0,170000.0,2022
1,Yes,United States Dollars (USD),36-40,Married,2,0,Manufacturing,Private corporation,Management - Upper,Sr Director,For myself,,,,Own,81-90,No,6000000.0,50,,6000000.0,3,0.0,180000.0,Yes,41-45,,,,3515000.0,500000.0,192000.0,610000.0,2022
1,Yes,United States Dollars (USD),21-25,"In a relationship, but not married",,4,Professional & Business Services,Self-employed,Professional (licensed / certificated),Founder/Managing Partner,For myself,For an organization,For an organization,,Own,51-60,Yes,,,No,20000000.0,3,250000.0,400000.0,No,41-45,1000000.0,,,4435930.0,412690.0,503279.0,501280.0,2022
1,Yes,United States Dollars (USD),31-35,"In a relationship, but not married",,,Information Technology (incl. software engineering),Private corporation,Information technology,Data scientist,For an organization,,,,Live with family or friends,71-80,No,1000000.0,4.5,,1500000.0,3,100000.0,80000.0,Undecided,51-55,,,,145500.0,0.0,124000.0,124000.0,2022
