Number of Contributors,Reside in US,Currency Used,Age,Relationship Status,Children Currently,Children Desired,Full Time Employment,"Part Time, Regular Employment","Part Time, Irregular Employement",Not Employed,Working Industry,Employer Type,Job Role,Job Title,Housing Situation,Cost of Living Index,Financially Independent,FI Number,Percent of FI Amount,Retired,Amount to Retire,Target Safe Withdrawal Rate,Annual Income [Supplemental Sources],Retired Annual Spending,Type of FI,Work if FI,Intended Retirement Age,Inflation/Recession Effects,FI Number [Retired],Annual Withdrawal Rate,Annual Withdrawal Amount,Total Assets,Total Debt,Annual Expenses,Total Income,Year
2,Yes,USD,26-30,Married,,2.0,For an organization,,,,Financial Services,Public corporation,Professional (non-licensed),Vice President,Own,71-80,No,2000000.0,10.0,,2500000.0,4.0,20000.0,80000.0,Undecided,Undecided,46-50,Increased my FI and/or RE number,,,,720000.0,307000.0,166500.0,216000.0,2021
1,Yes,USD,26-30,"Single, never married",,,For an organization,,,,,,,,Own,71-80,No,2000000.0,15.0,,2000000.0,3.25,12000.0,55000.0,FI,Undecided,41-45,Increased my FI and/or RE number,,,,615500.0,298000.0,96300.0,116000.0,2021
1,Yes,USD,21-25,"In a relationship, but not married",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,21-25,"Single, never married",,,For an organization,,,,,,,,Rent,91-100,No,2000000.0,2.5,,1000000.0,4.0,4000.0,100000.0,Barista / Coast FI,No,36-40,No change,,,,47000.0,0.0,74000.0,74000.0,2021
1,Yes,USD,36-40,"Single, never married",,2.0,For an organization,,,,,,,,Rent,61-70,Yes,,,No,2000000.0,4.0,92000.0,40000.0,FI,No,41-45,"Increased my FI and/or RE number,Increased my planned RE date",1000000.0,,,980000.0,10000.0,20400.0,250000.0,2021
2,No,GBP,26-30,"In a relationship, but not married",,2.0,For an organization,,,,Information Technology,Private corporation,Information technology,Technical support consultant,Rent,71-80,No,550206.3273727648,15.0,,825309.4910591472,4.0,37138.927097661624,27510.31636863824,Barista / Coast FI,Undecided,51-55,"Increased my FI and/or RE number,Increased my planned RE date",,,,82530.94910591473,64649.243466299864,0.0,0.0,2021
2,Yes,USD,36-40,Married,1.0,1.0,For an organization,,,,Engineering,Private corporation,Management - Middle / Lower,Sr manager,Own,71-80,No,6000000.0,16.0,,,4.0,,,FatFI,No,61-65,No change,,,,2470000.0,0.0,276500.0,530000.0,2021
1,Yes,USD,26-30,Married,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,26-30,"In a relationship, but not married",,,For an organization,,,,,,,,Own,81-90,No,1000000.0,20.0,,1000000.0,4.0,15000.0,35000.0,LeanFI,Partially,31-35,No change,,,,708000.0,450000.0,140000.0,140000.0,2021
2,Yes,USD,26-30,Married,,2.0,"For an organization,For myself",,,,Healthcare,Public corporation,Sales,,Own,71-80,No,3000000.0,10.0,,5000000.0,3.5,35000.0,175000.0,ChubbyFI,Yes,51-55,Increased my FI and/or RE number,,,,710000.0,350000.0,0.0,0.0,2021
1,Yes,USD,36-40,Married,1.0,0.0,For an organization,,,,,,,,Own,71-80,Yes,,,No,3500000.0,3.5,40000.0,80000.0,FatFI,Partially,46-50,No change,2500000.0,,,3790000.0,0.0,430000.0,430000.0,2021
2,No,AUD,31-35,Married,,2.0,For an organization,,,,Media,Public agency,Marketing,Trading Director,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,46-50,Married,,,For an organization,,,,Education,Public agency,Professional (licensed / certificated),teacher,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,21-25,Married,1.0,2.0,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,26-30,Married,,3.0,For an organization,,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),ECMO Specialist,Own,71-80,No,2000000.0,10.0,,2000000.0,4.0,,60000.0,Barista / Coast FI,Partially,56-60,Increased my FI and/or RE number,,,,731000.0,415000.0,143400.0,160000.0,2021
2,Yes,USD,26-30,Married,,2.0,For myself,,,,Professional & Business Services,Public corporation,Marketing,,Own,71-80,No,3000000.0,20.0,,5000000.0,3.0,,125000.0,ChubbyFI,Undecided,46-50,No change,,,,1702000.0,740000.0,403500.0,405000.0,2021
1,Yes,USD,21-25,"In a relationship, but not married",,3.0,For an organization,,,,,,,,Own,61-70,No,1000000.0,38.0,,5000000.0,4.0,200000.0,200000.0,FatFI,No,51-55,No change,,,,990000.0,500000.0,113000.0,113000.0,2021
2,Yes,USD,41-45,Widowed - Remarried,4.0,0.0,,,,"For an organization,For myself",Professional & Business Services,Private corporation,Sales,Director,Own,61-70,Yes,,,Yes,,,,,,,,,1300000.0,1.3,43000.0,3875000.0,0.0,38000.0,0.0,2021
1,Yes,USD,26-30,Married,1.0,,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,41-45,Married,2.0,0.0,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,26-30,Married,,5.0,For an organization,,,,Healthcare,Private corporation,Professional (non-licensed),,Own,71-80,No,1000000.0,15.0,,3000000.0,,100000.0,100000.0,Undecided,No,51-55,Increased my FI and/or RE number,,,,403000.0,233000.0,54400.0,100000.0,2021
1,Yes,USD,21-25,"In a relationship, but not married",,3.0,For an organization,For myself,For myself,,,,,,Own,61-70,Yes,,,No,,3.5,140000.0,300000.0,FatFI,No,41-45,Increased my FI and/or RE number,2500000.0,,,4571851.0,572023.0,507640.0,507640.0,2021
1,Yes,USD,21-25,"Single, never married",,,For an organization,,,,,,,,Rent,61-70,No,1000000.0,6.0,,2140000.0,4.0,,80000.0,ChubbyFI,Undecided,36-40,Increased my FI and/or RE number,,,,62000.0,11500.0,36000.0,180000.0,2021
1,Yes,USD,26-30,"In a relationship, but not married",,,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,26-30,Married,1.0,1.0,For an organization,,,,Energy,Nonprofit corporation,Professional (non-licensed),Accountant,Own,51-60,No,1000000.0,45.0,,1500000.0,4.0,20000.0,40000.0,Barista / Coast FI,Partially,36-40,No change,,,,547000.0,0.0,0.0,0.0,2021
1,Yes,USD,26-30,"Single, never married",,,For an organization,,,,,,,,Rent,71-80,No,2000000.0,12.0,,2000000.0,3.0,,60000.0,FI,Yes,41-45,"Increased my FI and/or RE number,Increased my planned RE date",,,,262000.0,16500.0,122120.0,122120.0,2021
2,Yes,USD,26-30,Married,1.0,1.0,For an organization,,,,Education,Public agency,Professional (licensed / certificated),Teacher,Own,71-80,No,1500000.0,22.0,,3000000.0,3.25,30000.0,80000.0,ChubbyFI,Undecided,46-50,No change,,,,811000.0,316000.0,153600.0,170000.0,2021
1,Yes,USD,21-25,"Single, never married",,,For an organization,,,,,,,,Rent,91-100,No,5000000.0,7.0,,5000000.0,3.5,,120000.0,FatFI,Undecided,46-50,No change,,,,351500.0,0.0,81348.0,95000.0,2021
1,Yes,USD,26-30,"In a relationship, but not married",,,For an organization,,,,,,,,Rent,81-90,No,1200000.0,13.0,,95.0,3.5,12000.0,42000.0,FI,Yes,36-40,No change,,,,152000.0,27000.0,22000.0,90000.0,2021
2,Yes,USD,31-35,Married,,,For an organization,,,,Healthcare,Private corporation,Professional (licensed / certificated),Biochemist,Rent,91-100,No,2000000.0,40.0,,,4.0,55000.0,120000.0,FI,Undecided,46-50,No change,,,,0.0,0.0,270000.0,270000.0,2021
2,Yes,USD,26-30,Married,,2.0,For an organization,,,,Financial Services,Public corporation,Professional (non-licensed),Financial Analyst,Own,61-70,No,2500000.0,40.0,,2500000.0,4.0,,100000.0,FI,Undecided,41-45,Increased my FI and/or RE number,,,,1305000.0,250000.0,160300.0,180000.0,2021
2,Yes,USD,31-35,"In a relationship, but not married",,,For an organization,,,,Professional & Business Services,Public corporation,Marketing,Senior Graphic Designer,Rent,71-80,No,400000.0,63.0,,500000.0,4.0,,25000.0,Barista / Coast FI,No,36-40,No change,,,,274000.0,0.0,0.0,0.0,2021
1,Yes,USD,31-35,Married,,3.0,For an organization,,For myself,,,,,,Rent,61-70,No,1200000.0,26.0,,,4.0,78600.0,75000.0,FI,No,51-55,Increased my FI and/or RE number,,,,962400.0,569000.0,121200.0,110400.0,2021
1,Yes,USD,36-40,"Single, never married",,,For an organization,,,,,,,,Live with family or friends,81-90,Yes,,,No,2000000.0,3.25,18000.0,60000.0,FI,No,36-40,No change,1500000.0,,,1725000.0,0.0,154000.0,154000.0,2021
2,Yes,USD,31-35,Married,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,26-30,Married,,,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,36-40,Married,,,For an organization,,,,,,,,Own,81-90,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,31-35,Married,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,36-40,Married,2.0,0.0,For myself,,,,Construction,Self-employed,Management - Upper,Owner,Own,91-100,No,5000000.0,20.0,,5000000.0,4.0,48000.0,150000.0,ChubbyFI,Partially,51-55,"Increased my FI and/or RE number,Increased my planned RE date",,,,2200000.0,506000.0,139750.0,140000.0,2021
1,Yes,USD,31-35,"Single, never married",,,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,51-55,"In a relationship, but not married",3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,21-25,"In a relationship, but not married",,2.0,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,31-35,"In a relationship, but not married",,,For an organization,,,,,,,,Rent,91-100,No,1000000.0,20.0,,1500000.0,4.0,,60000.0,ChubbyFI,No,41-45,No change,,,,300000.0,38874.0,260640.0,260640.0,2021
1,Yes,USD,31-35,Married,2.0,0.0,For an organization,,,,,,,,Own,61-70,Yes,,,No,7000000.0,3.0,,100000.0,ChubbyFI,Undecided,41-45,No change,1500000.0,,,1870000.0,35000.0,99500.0,210000.0,2021
2,Yes,USD,41-45,"In a relationship, but not married",2.0,,For an organization,,,,Healthcare,Public corporation,Professional (licensed / certificated),Nurse,Own,81-90,No,5000000.0,50.0,,4000000.0,4.0,200000.0,160000.0,ChubbyFI,Partially,46-50,No change,,,,3600000.0,750000.0,555000.0,550000.0,2021
1,Yes,USD,26-30,"In a relationship, but not married",,1.0,For an organization,,,,,,,,Own,71-80,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,51-55,Divorced - Remarried,1.0,0.0,For an organization,,,,Public Administration (Civilian Government),Nonprofit corporation,Administrative staff,Dir of Community Outreach,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,26-30,"In a relationship, but not married",,,For an organization,,,,,,,,Own,81-90,No,2500000.0,3.0,,,4.0,100000.0,75000.0,FI,Yes,,Increased my FI and/or RE number,,,,652000.0,14900.0,48500.0,100000.0,2021
1,Yes,USD,51-55,Married,2.0,0.0,For an organization,,,,,,,,Own,61-70,No,1500000.0,90.0,,1500000.0,3.0,35000.0,60000.0,LeanFI,Yes,51-55,Increased my FI and/or RE number,,,,1900000.0,330000.0,60000.0,240000.0,2021
1,Yes,USD,46-50,Married,2.0,0.0,For an organization,For myself,,,,,,,Own,61-70,Yes,,,No,10000000.0,4.0,32000.0,250000.0,FatFI,No,51-55,No change,2500000.0,,,7125000.0,305000.0,150000.0,650000.0,2021
1,Yes,USD,26-30,"In a relationship, but not married",,2.0,For an organization,For myself,,,,,,,Rent,61-70,No,2500000.0,10.0,,2500000.0,3.75,,90000.0,FI,Undecided,41-45,No change,,,,293000.0,20000.0,0.0,0.0,2021
2,Yes,USD,46-50,Married,4.0,3.0,For myself,,,,Leisure & Hospitality,,Management - Upper,owner,Own,71-80,Yes,,,No,50000000.0,50.0,1000000.0,500000.0,FatFI,Partially,56-60,No change,50000000.0,,,4100000.0,2300000.0,0.0,0.0,2021
1,No,CAD,31-35,"Single, never married",,,For an organization,,,,,,,,Rent,71-80,No,797448.1658692185,22.0,,797448.1658692185,4.0,,,FI,Partially,36-40,,,,,0.0,0.0,0.0,179425.83732057415,2021
1,Yes,USD,26-30,"Single, never married",,,For an organization,,For myself,,,,,,Own,61-70,No,1120000.0,9.0,,1120000.0,4.0,,44700.0,FI,Undecided,41-45,No change,,,,640800.0,270300.0,36576.0,91694.0,2021
2,Yes,USD,41-45,Married,2.0,0.0,For an organization,,,,Information Technology,Public corporation,Professional (licensed / certificated),Lawyer,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,26-30,Married,,2.0,For an organization,,,,Information Technology,Private corporation,Information technology,Software Engineer,Rent,61-70,No,2250000.0,16.0,,2250000.0,4.0,,90000.0,FI,Yes,36-40,No change,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,36-40,Married,,,For an organization,,,,Education,Private corporation,Professional (licensed / certificated),Lab director,Rent,71-80,No,3500000.0,55.0,,,3.5,,,FI,Partially,46-50,Increased my FI and/or RE number,,,,2007100.0,5000.0,245000.0,300000.0,2021
1,Yes,USD,21-25,"Single, never married",,,For an organization,,,,,,,,Rent,61-70,No,900000.0,7.0,,1200000.0,3.0,50000.0,40000.0,FI,Partially,51-55,Increased my FI and/or RE number,,,,83000.0,0.0,67000.0,67000.0,2021
1,Yes,USD,26-30,"In a relationship, but not married",,,For an organization,,,,,,,,Rent,91-100,No,1500000.0,30.0,,1500000.0,4.0,,60000.0,FI,Undecided,46-50,No change,,,,493300.0,0.0,68200.0,125000.0,2021
2,Yes,USD,31-35,Married,2.0,0.0,For an organization,,,,Engineering,Public corporation,Information technology,,Rent,61-70,No,2400000.0,40.0,,2400000.0,3.0,,80000.0,FI,Partially,41-45,No change,,,,960000.0,0.0,4160.0,320000.0,2021
1,Yes,USD,26-30,"Single, never married",,,For an organization,,,,,,,,Rent,31-40,No,2000000.0,10.0,,3000000.0,4.0,100000.0,60000.0,FI,Partially,41-45,No change,,,,208000.0,21000.0,0.0,0.0,2021
2,Yes,USD,36-40,Married,,2.0,For an organization,,,,Education,Public agency,Professional (licensed / certificated),2nd Grade Teacher,Own,71-80,No,1250000.0,54.0,,1500000.0,4.0,62000.0,50000.0,FI,Partially,41-45,No change,,,,1112669.0,260098.0,209754.0,18287.0,2021
2,Yes,USD,41-45,Married,5.0,0.0,For myself,,For an organization,,"Arts, Entertainment, Recreation",Self-employed,Professional (non-licensed),Photographer,Own,61-70,No,2300000.0,21.0,,3000000.0,3.7,120000.0,100000.0,ChubbyFI,Partially,56-60,Increased my FI and/or RE number,,,,1656856.0,1049089.0,220000.0,220000.0,2021
1,Yes,USD,26-30,"Single, never married",,,For an organization,,,,,,,,Live with family or friends,61-70,No,2000000.0,25.0,,2000000.0,3.5,,50000.0,FI,Yes,36-40,"Increased my FI and/or RE number,Increased my planned RE date",,,,510000.0,0.0,108500.0,116000.0,2021
1,Yes,USD,26-30,"Single, never married",,2.0,For an organization,,For myself,,,,,,Rent,71-80,No,2500000.0,10.0,,2500000.0,4.0,50000.0,75000.0,LeanFI,Partially,46-50,Increased my FI and/or RE number,,,,216500.0,0.0,0.0,117200.0,2021
1,Yes,USD,31-35,Married,,,For an organization,,,,,,,,Own,71-80,No,1000000.0,33.0,,1500000.0,3.0,,50000.0,FI,Partially,41-45,Increased my FI and/or RE number,,,,789714.0,150000.0,122550.0,122550.0,2021
2,Yes,USD,31-35,Married,3.0,0.0,For an organization,,,,Engineering,Private corporation,Professional (non-licensed),,Own,61-70,No,2200000.0,36.0,,2200000.0,4.0,,,FI,Partially,36-40,No change,,,,1324000.0,230000.0,194000.0,194000.0,2021
1,Yes,USD,26-30,"Single, never married",,2.0,For an organization,,,,,,,,Rent,71-80,No,2000000.0,1.0,,2000000.0,0.04,,80000.0,FI,Partially,46-50,No change,,,,0.0,0.0,0.0,0.0,2021
2,No,CAD,31-35,Married,1.0,1.0,For an organization,,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),Lawyer,Own,71-80,No,3987240.8293460924,1.0,,3987240.8293460924,5.0,19936.204146730463,79744.81658692185,Barista / Coast FI,Partially,51-55,No change,,,,1395534.2902711325,996810.2073365231,79744.81658692185,318979.2663476874,2021
1,Yes,USD,41-45,Married,2.0,0.0,For an organization,,,,,,,,Own,91-100,No,2800000.0,30.0,,2800000.0,3.7,,90000.0,FI,Yes,51-55,Increased my FI and/or RE number,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,26-30,Married,,3.0,For an organization,,,,Education,Public agency,Professional (licensed / certificated),Kindergarten Teacher,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
2,Yes,USD,46-50,Married,2.0,0.0,For an organization,,,,Professional & Business Services,Self-employed,Consultant,Graphic Designer,Own,91-100,No,3000000.0,80.0,,4000000.0,3.0,0.0,100000.0,ChubbyFI,Yes,56-60,Increased my FI and/or RE number,,,,3740000.0,370000.0,21990.0,400000.0,2021
1,Yes,USD,21-25,"In a relationship, but not married",,,For an organization,,,,,,,,Rent,61-70,No,3000000.0,19.0,,3000000.0,4.5,,50000.0,FI,Yes,51-55,Increased my FI and/or RE number,,,,48200.0,0.0,0.0,92000.0,2021
1,Yes,USD,21-25,"Single, never married",,,For an organization,,,,,,,,Rent,61-70,No,1000000.0,9.0,,1000000.0,3.0,,50000.0,Undecided,Partially,36-40,No change,,,,90000.0,0.0,82700.0,82700.0,2021
1,Yes,USD,36-40,Married,4.0,0.0,For an organization,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,36-40,Married,1.0,0.0,For an organization,,,,,,,,Own,31-40,No,2000000.0,55.0,,3000000.0,3.5,20000.0,80000.0,ChubbyFI,No,46-50,"Increased my FI and/or RE number,Increased my planned RE date",,,,1487500.0,63000.0,75000.0,160000.0,2021
2,No,CAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021
1,Yes,USD,26-30,Married,,2.0,For an organization,,,,,,,,Rent,61-70,No,1000000.0,16.0,,10000000.0,4.0,,40000.0,FI,No,36-40,No change,,,,224135.0,0.0,74128.0,74128.0,2021
2,Yes,USD,41-45,Married,2.0,0.0,For an organization,,,,Information Technology,Public corporation,Professional (licensed / certificated),Lawyer,Own,1-20,No,5000000.0,50.0,,5000000.0,4.0,150000.0,200000.0,FatFI,Undecided,51-55,Increased my FI and/or RE number,,,,7250000.0,885000.0,621823.0,618000.0,2021
