Number of Contributors,Reside in US,Age,Relationship Status,Country,Currency Used,Financially Independent,FI Number,Percent of FI Amount,Amount to Retire,Target Safe Withdrawal Rate,Annual Income [Supplemental Sources],Retired Annual Spending,FI Number [Retired],Retired,Intended Retirement Age,Work if FI,Annual Withdrawal Rate,Annual Withdrawal Amount,Working Industry,Employer Type,Job Role,Full Time Employment,"Part Time, Regular Employment","Part Time, Irregular Employement",Not Employed,Housing Situation,Cost of Living Index,Total Assets,Total Debt,Annual Expenses,Total Income,Year
1,No,29-33,"Single, never married",Australia,AUD,No,585399.4490358126,77.0,619834.7107438017,4.0,6.887052341597796,24104.683195592286,,,44-48,Partially,,,Financial Services,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,81-90,435950.4132231405,5509.641873278237,73545.45454545454,91597.79614325069,2020
1,No,24-28,"Single, never married",Australia,AUD,No,1308539.9449035814,20.0,1308539.9449035814,2.5,14462.809917355373,48209.36639118457,,,39-43,Partially,,,Information Technology,Private corporation,Management - Upper,For an Organization (Employed),,,,Own,81-90,857438.0165289256,571625.344352617,66569.55922865013,127410.46831955924,2020
1,No,49-53,"Single, never married",Australia,AUD,No,1377410.4683195592,80.0,1377410.4683195592,1.0,13774.104683195592,51652.89256198347,,,49-53,Undecided,,,Information Technology,Nonprofit corporation,Management - Middle / Lower,,,,,Rent,81-90,1239669.421487603,0.0,0.0,,2020
2,No,44-48,Married,Australia,AUD,No,1721763.085399449,100.0,2066115.702479339,4.0,27548.209366391184,55096.41873278237,,,44-48,Undecided,,,Transportation,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,81-90,2376033.05785124,241046.83195592288,107438.01652892564,168732.782369146,2020
2,No,29-33,Married,Australia,AUD,No,2410468.3195592286,12.0,3443526.170798898,3.5,68870.52341597796,13774.104683195592,,,54-58,Partially,,,Professional & Business Services,Public corporation,Program Staff,For an Organization (Employed),,,,Rent,81-90,595730.0275482094,282369.14600550965,132234.15977961433,130853.99449035812,2020
2,No,39-43,Married,Australia,AUD,No,2066115.702479339,20.0,2066115.702479339,4.0,103305.78512396694,103305.78512396694,,,54-58,Yes,,,Information Technology,Nonprofit corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,81-90,1721763.085399449,1005509.6418732784,144765.84022038567,247933.88429752068,2020
1,No,24-28,"Single, never married",Australia,AUD,No,895316.8044077135,9.0,895316.8044077135,3.0,0.0,27548.209366391184,,,49-53,Undecided,,,Manufacturing,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,81-90,82644.62809917355,0.0,48074.38016528926,66115.70247933884,2020
1,No,24-28,"In a relationship, but not married",Australia,AUD,No,688705.2341597796,30.0,1033057.8512396696,3.0,0.0,30991.735537190085,,,29-33,Undecided,,,Financial Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,213498.62258953167,0.0,161845.7300275482,161845.7300275482,2020
1,No,29-33,"In a relationship, but not married",Australia ,AUD,No,688705.2341597796,30.0,1033057.8512396696,4.0,34435.26170798898,41322.31404958678,,,44-48,Partially,,,Education,Public agency,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,81-90,340220.3856749312,0.0,84593.66391184574,68870.52341597796,2020
1,No,29-33,"In a relationship, but not married",Australia ,AUD,No,1377410.4683195592,30.0,1721763.085399449,3.3,0.0,55096.41873278237,,,54-58,Yes,,,Public Administration (Civilian Government),Public agency,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,499311.2947658402,688.7052341597796,65358.12672176309,54407.713498622594,2020
2,No,18-23,"Single, never married",Australia,AUD,No,344352.6170798898,2.0,482093.66391184577,4.0,,13774.104683195592,,,39-43,Partially,,,Construction,Private corporation,Skilled Laborer / Skilled Trade,For an Organization (Employed),,,,Live with family or friends,81-90,8264.462809917355,0.0,33548.89807162534,48898.07162534435,2020
1,No,24-28,"In a relationship, but not married",Austria (EU),EUR,No,969213.2269099202,24.0,1596351.197263398,2.8,22805.017103762828,45610.034207525656,,,54-58,Partially,,,Manufacturing,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,231014.82326111745,0.0,52531.35689851768,51311.28848346637,2020
2,No,24-28,"In a relationship, but not married",Belgium,EUR,Yes,,,,,,,570125.4275940707,No,Undecided,No,,,Information Technology,Private corporation,Management - Middle / Lower,For an Organization (Employed),,For Myself (Self-Employed),,Own,71-80,1721770.8095781072,216576.9669327252,67561.00342075256,84378.56328392246,2020
2,No,34-38,"In a relationship, but not married",Belgium,EUR,No,912200.6841505131,59.0,912200.6841505131,4.0,23261.117445838085,26795.89509692132,,,39-43,Partially,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,71-80,535815.2793614595,0.0,164277.08095781071,131370.58152793616,2020
1,No,29-33,"Single, never married",Belgium,EUR,No,1140250.855188141,45.0,2850627.137970353,3.0,114025.08551881414,85518.8141391106,,,44-48,Partially,,,Financial Services,Private corporation,Consultant,For an Organization (Employed),,For Myself (Self-Employed),,Own,71-80,775370.5815279362,353477.76510832383,86488.02736602053,91220.06841505133,2020
1,No,24-28,"In a relationship, but not married",Belgium,EUR,No,798175.598631699,15.0,1710376.282782212,4.0,22805.017103762828,25085.51881413911,,,54-58,Partially,,,Manufacturing,Private corporation,Skilled Laborer / Skilled Trade,For an Organization (Employed),,,,Rent,71-80,109007.98175598631,0.0,92280.50171037628,54732.041049030784,2020
1,No,29-33,"In a relationship, but not married",Belgium,EUR,No,399087.7993158495,16.0,855188.1413911061,3.5,30786.773090079816,27366.020524515392,,,44-48,Partially,,,Financial Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,238312.42873432155,104903.078677309,88939.56670467503,88939.56670467503,2020
2,No,59-63,Married,Canada,CAD,Yes,,,,,,,745712.1551081283,No,64-68,No,,,Transportation,Private corporation,Skilled Laborer / Skilled Trade,,For an Organization (Employed),,,Own,71-80,1625652.4981357197,0.0,41237.88217747949,82028.33706189411,2020
2,No,54-58,Married,Canada,CAD,Yes,,,,,,,1193139.4481730051,Yes,,,2.982848620432513,76000.0,Public Administration (Civilian Government),Public agency,Management - Upper,,,,For an Organization (Employed),Own,61-70,3020134.22818792,0.0,13497.39000745712,104399.70171513796,2020
2,No,29-33,Married,Canada,CAD,No,894854.586129754,20.0,894854.586129754,4.0,20879.940343027592,37285.60775540641,,,49-53,Partially,,,Information Technology,Private corporation,Information Technology,,For an Organization (Employed),,,Own,61-70,449664.42953020136,168530.94705443698,53765.84638329605,119313.94481730052,2020
2,No,29-33,"In a relationship, but not married",Canada,CAD,No,1118568.2326621923,10.0,1118568.2326621923,4.0,14914.243102162563,44742.729306487694,,,49-53,No,,,Financial Services,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,61-70,209545.11558538405,67114.09395973154,74496.64429530202,100671.14093959732,2020
2,No,29-33,Married,Canada,CAD,No,1118568.2326621923,20.0,1864280.3877703208,3.0,14914.243102162563,55928.41163310962,,,44-48,Partially,,,Professional & Business Services,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,71-80,950782.9977628636,525727.0693512304,128076.06263982104,149142.43102162564,2020
1,No,29-33,"In a relationship, but not married",Canada,CAD,No,745712.1551081283,15.0,745712.1551081283,4.0,3728.560775540641,29828.48620432513,,,39-43,Partially,,,"Agriculture, Forestry, Fishing",Private corporation,Management - Upper,For an Organization (Employed),,For Myself (Self-Employed),,Own,71-80,469798.6577181208,186428.03877703208,108873.97464578671,115585.38404175988,2020
1,No,24-28,"Single, never married",Canada,CAD,No,1864280.3877703208,15.0,1864280.3877703208,4.0,74571.21551081282,0.0,,,44-48,Partially,,,Construction,Private corporation,Skilled Laborer / Skilled Trade,For an Organization (Employed),,,,Own,71-80,369127.5167785235,156599.55257270695,68232.66219239373,67114.09395973154,2020
1,No,34-38,"Single, never married",Canada,CAD,No,708426.5473527219,40.0,708426.5473527219,3.5,5965.697240865026,26845.637583892614,,,39-43,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Rent,71-80,309470.54436987324,14914.243102162563,41163.31096196868,69351.23042505592,2020
1,No,24-28,"Single, never married",Canada,CAD,No,932140.1938851604,65.0,932140.1938851604,4.0,0.0,33557.04697986577,,,29-33,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,1256524.981357196,536912.7516778524,137211.0365398956,141685.30947054437,2020
2,No,39-43,"In a relationship, but not married",Canada,CAD,No,1491424.3102162569,40.0,1491424.3102162569,5.0,11185.682326621923,29828.48620432513,,,Undecided,Partially,,,Construction,Self-employed,Skilled Laborer / Skilled Trade,For Myself (Self-Employed),,,,Own,71-80,1506338.553318419,507084.26547352725,92766.59209545115,152870.9917971663,2020
1,No,39-43,"In a relationship, but not married",Canada,CAD,Yes,,,,,,,745712.1551081283,No,44-48,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,2237136.4653243846,0.0,246252.79642058167,243847.87472035797,2020
1,No,24-28,"Single, never married",Canada,CAD,No,745712.1551081283,3.11,1864280.3877703208,4.0,,67114.09395973154,,,49-53,Undecided,,,Financial Services,Public corporation,Customer Service,,For an Organization (Employed),,,Live with family or friends,71-80,35856.07755406413,17175.24235645041,3668.903803131991,13422.818791946307,2020
1,No,29-33,"Single, never married",Canada,CAD,No,389261.744966443,50.0,733035.0484712902,4.0,11185.682326621923,40268.45637583893,,,39-43,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Rent,61-70,217747.94929157343,596.5697240865027,78891.87173750933,68543.62416107382,2020
2,No,39-43,Married,Canada,CAD,No,1864280.3877703208,50.0,1193139.4481730051,4.0,5965.697240865026,44742.729306487694,,,49-53,Undecided,,,Professional & Business Services,Private corporation,Marketing,For an Organization (Employed),,,,Rent,71-80,612975.3914988814,0.0,129008.2028337062,149142.43102162564,2020
1,No,29-33,"Single, never married",Canada,CAD,No,1864280.3877703208,5.0,74.57121551081283,3.0,10439.970171513796,48471.29008202834,,,54-58,No,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,71-80,63478.00149142432,28038.777032065624,52199.85085756898,103653.98956002983,2020
2,No,29-33,"In a relationship, but not married",Canada,CAD,No,2237136.4653243846,10.0,1864280.3877703208,3.5,14914.243102162563,14914.243102162563,,,44-48,Partially,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,753169.2766592095,410141.6853094706,116331.096196868,186428.03877703208,2020
2,No,24-28,"In a relationship, but not married",Canada,CAD,No,1864280.3877703208,2.0,1864280.3877703208,4.0,7457.121551081283,74571.21551081282,,,54-58,Partially,,,Professional & Business Services,Public corporation,Consultant,For an Organization (Employed),,,,Rent,71-80,33557.04697986577,4847.129008202834,93079.79120059658,119313.94481730052,2020
2,No,34-38,"In a relationship, but not married",Canada,CAD,No,2237136.4653243846,10.0,7457121.551081283,5.0,37285.60775540641,223713.6465324385,,,59-63,Yes,,,Natural Resources,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,71-80,227442.20730797912,1491.4243102162566,103653.98956002983,149142.43102162564,2020
1,No,34-38,Married,Canada,CAD,Yes,,,,,,,1342281.879194631,No,39-43,No,,,Professional & Business Services,Self-employed,Consultant,For Myself (Self-Employed),,,,Own,61-70,1737509.3214019388,0.0,168903.80313199107,186428.03877703208,2020
1,No,29-33,Married,Canada,CAD,No,1491424.3102162569,34.0,3728560.7755406415,3.0,22371.364653243847,44742.729306487694,,,49-53,No,,,Construction,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,61-70,507084.26547352725,238627.88963460104,122073.0797912006,130499.62714392244,2020
2,No,34-38,"In a relationship, but not married",Canada,CAD,No,745712.1551081283,1.0,745712.1551081283,3.5,18642.803877703205,33557.04697986577,,,49-53,Partially,,,Construction,Private corporation,Skilled Laborer / Skilled Trade,For an Organization (Employed),,,,Own,1-20,320656.22669649514,73079.79120059658,71513.7956748695,104399.70171513796,2020
1,No,29-33,"Single, never married",Canada,CAD,No,745712.1551081283,40.0,745712.1551081283,4.0,4474.27293064877,29828.48620432513,,,Undecided,Partially,,,Financial Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,For Myself (Self-Employed),Rent,61-70,304250.5592841163,0.0,37360.17897091723,44742.729306487694,2020
1,No,29-33,"Single, never married",Canada,CAD,No,2460850.111856824,12.0,2460850.111856824,3.5,85756.89783743475,0.0,,,54-58,Partially,,,Real Estate,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,71-80,596569.7240865026,216256.5249813572,43251.30499627144,82028.33706189411,2020
2,No,29-33,Married,Canada,CAD,No,372856.07755406416,15.0,745712.1551081283,4.0,26099.92542878449,33557.04697986577,,,49-53,Partially,,,Financial Services,Private corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,924683.0723340792,298284.8620432513,72856.07755406413,130499.62714392244,2020
1,No,24-28,"Single, never married",Canada,CAD,No,745712.1551081283,25.0,1118568.2326621923,4.0,19388.51603281133,44742.729306487694,,,39-43,Undecided,,,"Agriculture, Forestry, Fishing",Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,61-70,567155.8538404176,271255.7792692021,39818.04623415362,75316.92766592096,2020
2,No,39-43,Married,Canada,CAD,No,1491424.3102162569,40.0,1491424.3102162569,4.0,44742.729306487694,22371.364653243847,,,49-53,Undecided,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,1368381.8046234157,119313.94481730052,275540.6413124534,257270.69351230425,2020
2,No,29-33,"In a relationship, but not married",Canada,CAD,No,1491424.3102162569,10.0,1491424.3102162569,3.5,7457.121551081283,29828.48620432513,,,59-63,No,,,Utilities,Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,71-80,1006711.4093959732,671140.9395973155,48396.71886651753,164056.67412378822,2020
2,No,39-43,Married,Canada,CAD,No,2237136.4653243846,30.0,2237136.4653243846,4.0,26099.92542878449,74571.21551081282,,,64-68,No,,,Manufacturing,Private corporation,Management - Upper,For an Organization (Employed),,,,Own,71-80,1569724.08650261,274422.0730797912,111185.68232662191,193885.16032811336,2020
1,No,29-33,"In a relationship, but not married",Canada,CAD,No,1118568.2326621923,55.0,2609992.542878449,4.0,70842.65473527218,14914.243102162563,,,44-48,Undecided,,,"Trade, transportation, utilities",Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,71-80,504101.4168530947,267710.6636838181,0.0,90231.17076808352,2020
2,No,34-38,"In a relationship, but not married",Canada,CAD,No,745712.1551081283,30.0,1491424.3102162569,2.0,55928.41163310962,37285.60775540641,,,49-53,Partially,,,Other Services,Self-employed,Consultant,For Myself (Self-Employed),,,,Own,71-80,436241.610738255,152870.9917971663,58911.26025354213,74571.21551081282,2020
1,No,29-33,"In a relationship, but not married",Canada,CAD,No,745712.1551081283,35.0,745712.1551081283,4.0,29828.48620432513,29828.48620432513,,,39-43,Undecided,,,Professional & Business Services,Private corporation,Customer Service,For an Organization (Employed),,,,Rent,71-80,260999.2542878449,0.0,121551.08128262492,126771.0663683818,2020
2,No,34-38,Married,Canada,CAD,No,596569.7240865026,,596569.7240865026,4.0,,22371.364653243847,,,49-53,Partially,,,Education,Nonprofit corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,41-50,184190.90231170767,60402.68456375839,48045.4884414616,82028.33706189411,2020
2,No,29-33,Married,Canada,CAD,No,1118568.2326621923,50.0,1118568.2326621923,4.0,29828.48620432513,11185.682326621923,,,39-43,Yes,,,Construction,Public corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,1299030.5741983594,715883.6689038031,71886.65175242357,134228.1879194631,2020
1,No,29-33,"In a relationship, but not married",Canada,CAD,No,,,,,,,,,54-58,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,663683.8180462342,0.0,10167.78523489933,43251.30499627144,2020
1,No,24-28,"Single, never married",Canada,CAD,No,745712.1551081283,5.0,186428.03877703208,4.0,18642.803877703205,33557.04697986577,,,29-33,Partially,,,Other Services,Self-employed,"Professional (non-licensed, certified)",For Myself (Self-Employed),,For Myself (Self-Employed),,Own,71-80,589112.6025354214,316927.66592095455,62982.84862043252,60775.54064131246,2020
2,No,24-28,"In a relationship, but not married",Canada,CAD,No,1864280.3877703208,3.0,1864280.3877703208,3.5,44742.729306487694,59656.97240865026,,,44-48,Yes,,,Financial Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,71-80,67636.09246830724,33557.04697986577,43214.76510067114,74571.21551081282,2020
2,No,34-38,"In a relationship, but not married",Canada,CAD,No,559284.1163310962,75.0,559284.1163310962,4.0,22371.364653243847,22371.364653243847,,,34-38,Yes,,,Financial Services,Private corporation,Administrative staff,For an Organization (Employed),,,,Rent,71-80,417598.8068605518,0.0,57416.10738255033,67114.09395973154,2020
1,No,24-28,"Single, never married",Canada,CAD,No,1864280.3877703208,10.0,2982848.6204325133,4.0,8948.54586129754,44742.729306487694,,,34-38,Undecided,,,"Trade, transportation, utilities",Private corporation,Skilled Laborer / Skilled Trade,For an Organization (Employed),,,,Live with family or friends,71-80,178970.91722595078,0.0,53355.70469798658,60887.39746457867,2020
1,No,24-28,"Single, never married",Canada,CAD,Yes,,,,,,,1491424.3102162569,No,29-33,Partially,,,Financial Services,Self-employed,Consultant,For Myself (Self-Employed),For an Organization (Employed),,,Live with family or friends,61-70,2419463.087248322,259962.7143922446,337882.1774794929,175242.35645041015,2020
1,No,39-43,Married,Canada,CAD,No,1118568.2326621923,70.0,1118568.2326621923,4.5,8948.54586129754,48471.29008202834,,,44-48,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,1043464.5786726323,253169.27665920957,39038.03131991052,63385.53318419091,2020
1,No,34-38,Divorced,Canada,CAD,No,1118568.2326621923,68.0,1118568.2326621923,4.0,18642.803877703205,44742.729306487694,,,34-38,Yes,,,"Arts, Entertainment, Recreation",Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,720357.9418344519,0.0,150472.78150633856,146159.58240119315,2020
1,No,18-23,"Single, never married",Canada,CAD,No,,,,,,,,,54-58,Partially,,,Financial Services,Private corporation,Customer Service,For an Organization (Employed),,,,Live with family or friends,61-70,37285.60775540641,0.0,6972.408650261,13049.962714392244,2020
1,No,39-43,Divorced,Canada,CAD,Yes,,,,,,,484712.9008202834,No,49-53,Yes,,,Healthcare,Private corporation,Management - Middle / Lower,For an Organization (Employed),,For Myself (Self-Employed),,Own,51-60,1152125.2796420583,178970.91722595078,58687.546607009695,89485.45861297539,2020
1,No,24-28,"Single, never married",Canada,CAD,No,223713.6465324385,25.0,745712.1551081283,3.0,18642.803877703205,26099.92542878449,,,49-53,Partially,,,Construction,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,66368.38180462342,0.0,33318.419090231175,41014.168530947056,2020
2,No,49-53,Married,Canada,CAD,No,894854.586129754,400.0,0.7457121551081283,3.0,37285.60775540641,0.0,,,54-58,No,,,Professional & Business Services,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,71-80,3355779.269202088,0.0,108799.40343027592,223713.6465324385,2020
1,No,24-28,"Single, never married",Canada,CAD,No,,,,3.0,,,,,39-43,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,52945.56301267711,0.0,44742.729306487694,44742.729306487694,2020
1,No,29-33,"In a relationship, but not married",Canada,CAD,No,1491424.3102162569,7.5,2237136.4653243846,3.0,10439.970171513796,59656.97240865026,,,49-53,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,167785.23489932888,521.9985085756898,67375.09321401939,74571.21551081282,2020
2,No,34-38,Married,Canada,CAD,No,1491424.3102162569,50.0,1118568.2326621923,3.0,67114.09395973154,14914.243102162563,,,44-48,Partially,,,Military,Public agency,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,541387.0246085011,126771.0663683818,78299.77628635347,130499.62714392244,2020
